Altium Designer Pick and Place Locations
C:\Users\2357758\Desktop\Lab1-clickboard\Projet-Exemple\.\Generate Files\Generates pick and place files\243-TGE-Template.csv

========================================================================================================================
File Design Information:

Date:       22-09-26
Time:       09:49
Revision:   cad6a7c00930945899f7d2a375234480b3c30bd0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C5","CAP CER 100nF 50V 0402","TopLayer","C_1005[0402]","28.2718","42.5277","180","Capacitor type 1"
"C4","CAP CER 100nF 50V 0402","TopLayer","C_1005[0402]","27.0620","51.2750","180","Capacitor type 1"
"C3","CAP CER 100nF 50V 0402","TopLayer","C_1005[0402]","11.1870","48.1072","90","Capacitor type 1"
"C2","CAP CER 100nF 50V 0402","TopLayer","C_1005[0402]","12.9650","28.2880","0","Capacitor type 1"
"C1","CAP CER 100nF 50V 0402","TopLayer","C_1005[0402]","16.1400","37.5590","180","Capacitor type 1"
"MH4","DNP","TopLayer","MP_M-Hole_M2-NonPlated","2.5000","69.5000","90","Mounting Hole 2mm non plated"
"MH3","DNP","TopLayer","MP_M-Hole_M2-NonPlated","2.5000","2.5000","90","Mounting Hole 2mm non plated"
"MH2","DNP","TopLayer","MP_M-Hole_M2-NonPlated","37.5000","62.0000","90","Mounting Hole 2mm non plated"
"MH1","DNP","TopLayer","MP_M-Hole_M2-NonPlated","37.5000","2.5000","0","Mounting Hole 2mm non plated"
"Fid3","DNP","TopLayer","FD_Fiducial","36.8250","19.2000","90","Fiducial mark for alignement and Pick&Place"
"Fid2","DNP","TopLayer","FD_Fiducial","35.6750","51.2250","90","Fiducial mark for alignement and Pick&Place"
"Fid1","DNP","TopLayer","FD_Fiducial","4.3500","51.1750","0","Fiducial mark for alignement and Pick&Place"
"BRK3","DNP","TopLayer","BK_CRACK1B_M","32.6500","51.2000","90","Mouse Bites"
"BRK2","DNP","TopLayer","BK_CRACK1B_M","7.2500","51.2250","270","Mouse Bites"
"BRK1","DNP","TopLayer","BK_CRACK1B_M","19.7250","6.8250","0","Mouse Bites"
